###########################################################################
#
# nominatim-i8n.csv: Internationalisation for nominatim search results
#                    Translation of <place type="">-Attributes
#
# First line contains a list of all supported languages (ISO 639-1) with
# default (en) as first row. Only 2-char-codes please, "de-ch" or "en-us"
# is not supported.
# 
# each following line contains the english expression as first row and then
# the translations for each language. These lines don't have to be 
# complete, if some translation is missing, we will take the default 
# value.
#
# Delimiter is ":", empty fields (like "city:Stadt::Ville:Ciudad") are ok, 
# emty lines are ok, "#" as first char flags a comment
# 
# Character set is UTF-8 (in fact the character set is not important, but
# the browser has to interpret this and all other results of nominatim
# search are UTF-8. HTML-entities like in "Stra&szlig;e" are also ok)
#
###########################################################################  

#
# At first the supported languages
#

en 		 :de  				:hu 			:sr	 			:it

#
# Roads
#
bridleway        : Reitweg                      : lovaglóösvény         : koњска стаза		: Percorso per equitazione 
crossing         : Kreuzung                     : kereszteződés         : раскрсница		: Incrocio
cycleway         : Radweg                       : kerékpárút            : бициклистичка стаза		: Percorso ciclabile 
footway          : Fus&szlig;weg                : gyaloglóösvény        : пешачка стаза		: Camminamento pedonale 
pedestrian       : Fus&szlig;g&auml;ngerzone 	: gyalogos övezet	: Пешачка зона		: Percorso pedonale 
motorway         : Autobahn 			: autópálya		: аутопут		: Autostrada
motorway_link    : Autobahnauffahrt 		: autópálya kapcsolat	: аутопут_веза		: Collegamento autostradale
motorway_junction: Autobahnkreuz	 	: autópálya csomópont	: аутопут чвориште		: Svincolo autostradale
path             : Weg                          : ösvény                : стаза		: Percorso
trunk		 : Schnellstraße		: gyorsforgalmi_utca	: браза_улица		: Linea
living_street    : Stra&szlig;e  		: Utca 			: улица		: Strada di città
primary          : Stra&szlig;e  		: elsődleges		: Главних пут		: Strada primaria 
primary_link     : Stra&szlig;e  		: elsődleges kapcsolat  : Главних пут		: Collegamento primario
residential      : Stra&szlig;e  		: lakófelületi 		: улица		: Strada residenziale
road             : Stra&szlig;e  		: út 			: улица		: Strada
secondary        : Stra&szlig;e  		: másodlagos 		: Регионални пут		: Strada secondaria
secondary_link   : Stra&szlig;e  		: másodlagos kapcsolat  : Регионални пут		: Collegamento secondario
tertiary         : Stra&szlig;e  		: harmadlagos 		: Терциарни пут		: Strada terziaria 
tertiary_link    : Stra&szlig;e  		: harmadlagos kapcsolat : секундарни_беза		: Collegamento terziario		
unclassified     : Stra&szlig;e  		: minősitetlen 		: без квалификације		: Strada non classificata 
service          : Zufahrt 			: szolgálati út		: сервисни пут		: Strada di servizio
raceway          : Rennstrecke                  : versenypálya          : тракачка стаза		: Circuito automobilistico
track		 : Feldweg			: mezei út		: пољцки пут		: Pista da corsa 
bus_stop	 : Bushaltestelle		: buszmegálló		: аутобуско_стајалиште		: Fermata autobus
bus_station	 : Busbahnhof			: autóbuszállomás	: аутобуска_станица		: Stazione autobus


#
# Towns, cities, administrative areas
#
administrative       : Verwaltungsgrenze: adminisztrativ határ: Административних граница	: Amministrativa
country              : Staat 		: ország 	: Држава	: Nazione
state                : Land 		: állam         : Покрајина		: Stato
county               : Kreis 		: körzet	: Округ		: Contea	
region               : Region 		: régió		: Округ		: Regione 
city                 : Stadt 		: város 	: град		: Città
